2065	6	2055	1140-##-##	1200-##-##
2030	6	2045	1538-##-##	1682-##-##
4238	14	3721	1141-##-##	1154-##-##
4567	14	3910	1188-##-##	1198-##-##
2161	6	2162	1621-##-##	1639-##-##
9476	21	9477	1586-##-##	1586-##-##
2116	6	2061	1554-##-##	1829-##-##
4597	14	4049	1303-##-##	1304-##-##
6	0	8	1368-##-##	1421-##-##
4527	14	4502	1186-##-##	1189-##-##
4238	14	3721	1135-##-##	1141-##-##
1912	15	4977	1300-##-##	1700-##-##
2909	9	2593	1787-##-##	####-##-##
2161	6	2061	1534-##-##	1621-##-##
4960	14	3446	1620-##-##	1623-##-##
509	6	2056	1561-##-##	1581-##-##
4755	14	3710	1605-##-##	1607-##-##
3228	12	117	1712-##-##	####-##-##
3876	14	3877	1631-##-##	1632-##-##
2059	6	2064	700-##-##	969-##-##
439	1	442	1713-##-##	1726-##-##
2161	6	2162	1508-##-##	1534-##-##
284	1	285	697-##-##	1797-##-##
3720	14	3721	1558-##-##	1603-##-##
2138	7	2236	2016-##-##	2020-##-##
4380	14	3447	1281-##-##	1288-##-##
2848	9	2733	1760-##-##	####-##-##
4757	14	4758	1479-##-##	1480-##-##
4629	14	4362	986-##-##	1014-##-##
44	1	552	1471-##-##	1654-##-##
10825	22	9939	2018-##-##	####-##-##
4824	14	3446	1461-##-##	1463-##-##
3414	14	3416	1798-##-##	1799-##-##
3957	14	3523	1780-##-##	1782-##-##
1635	1	1636	1230-##-##	1400-##-##
4059	14	4060	1354-##-##	1355-##-##
2	6	1561	1359-##-##	1484-##-##
9160	19	1952	1509-##-##	1511-##-##
4527	14	3447	1200-##-##	1206-##-##
734	15	4977	1262-##-##	####-##-##
4835	14	4836	844-##-##	853-##-##
4757	14	4758	1474-##-##	1475-##-##
5096	15	5097	1709-##-##	1728-##-##
2130	6	2109	1349-##-##	1385-##-##
3485	23	12537	1661-##-##	1665-##-##
2121	6	2122	1423-##-##	1806-##-##
69	1	32	1547-##-##	1706-##-##
2059	6	2062	1386-##-##	1419-##-##
1415	1	163	1791-##-##	1968-##-##
7850	17	7323	196-##-##	196-##-##
4501	14	4502	1361-##-##	1364-##-##
6	0	9	937-##-##	961-##-##
3720	14	3721	1558-##-##	1603-##-##
11396	22	9589	2015-##-##	2019-##-##
4360	14	3447	1672-##-##	1679-##-##
1635	1	1636	680-##-##	1204-##-##
4794	14	4486	1298-##-##	1356-##-##
2	6	2061	1484-##-##	1812-##-##
169	1	175	1157-##-##	1618-##-##
9148	19	2004	1668-##-##	1705-##-##
3284	21	9434	1001-##-##	1055-##-##
3223	12	117	1707-##-##	1723-##-##
4835	14	4836	806-##-##	808-##-##
9492	21	9493	1402-##-##	1402-##-##
4859	14	3877	1595-##-##	1596-##-##
2709	14	4743	1660-##-##	1662-##-##
3485	14	3486	1689-##-##	1690-##-##
4716	14	3447	1228-##-##	####-##-##
19	6	2087	1000-##-##	1526-##-##
2709	14	4743	1662-##-##	1672-##-##
3790	14	4261	1338-##-##	####-##-##
2848	23	12523	1731-##-##	####-##-##
4620	14	4049	1032-##-##	1044-##-##
4859	14	3877	1593-##-##	1595-##-##
4485	14	4486	1698-##-##	1727-##-##
2030	6	2087	####-##-##	1538-##-##
69	1	71	1136-##-##	1478-##-##
3485	14	3486	1701-##-##	1702-##-##
4859	14	3877	1589-##-##	1591-##-##
4040	14	3777	705-##-##	711-##-##
3417	14	3419	1750-##-##	1756-##-##
2059	6	2064	976-##-##	981-##-##
2102	6	285	1428-##-##	1797-##-##
4516	14	3910	1568-##-##	1570-##-##
4360	14	3446	1680-##-##	1683-##-##
11460	22	9824	2007-##-##	2008-##-##
8795	17	6370	1998-##-##	1998-##-##
5370	16	5374	1986-##-##	1986-##-##
6312	17	6320	2008-##-##	2008-##-##
11791	22	9835	2013-##-##	####-##-##
6624	17	6538	2009-##-##	2009-##-##
7411	17	7087	1984-##-##	1984-##-##
3375	13	3255	1999-##-##	####-##-##
2448	17	7924	2011-##-##	2011-##-##
5774	16	5776	1984-##-##	1984-##-##
10780	22	5654	2011-##-##	2012-##-##
8408	17	6458	1980-##-##	1980-##-##
8340	17	6657	2014-##-##	2014-##-##
3212	12	2055	2001-##-##	####-##-##
8864	17	6504	1985-##-##	1985-##-##
2511	9	2476	1906-##-##	####-##-##
11409	22	9768	2003-##-##	2003-##-##
3160	11	3098	####-##-##	1939-##-##
5730	20	5849	2006-##-##	2006-##-##
7439	17	6909	1979-##-##	1979-##-##
11519	22	9937	1989-##-##	1993-##-##
3386	13	3247	1966-##-##	####-##-##
12446	22	11903	2004-##-##	2005-##-##
6046	20	9171	2011-##-##	2011-##-##
2362	20	7343	1975-##-##	1975-##-##
7355	20	6780	1958-##-##	1958-##-##
2388	20	5762	1960-##-##	1960-##-##
8388	17	5836	1990-##-##	1990-##-##
4141	14	4142	2003-##-##	2006-##-##
2400	17	5815	1961-##-##	1961-##-##
8951	17	6444	1994-##-##	1994-##-##
11807	22	10229	2008-##-##	2008-##-##
10190	22	9727	2012-##-##	2013-##-##
11083	22	10278	2011-##-##	2012-##-##
11803	22	10119	2006-##-##	2007-##-##
12420	22	10334	2000-##-##	2003-##-##
2193	14	3448	1926-##-##	1929-##-##
5760	20	5773	2006-##-##	2006-##-##
5678	16	5693	1983-##-##	1983-##-##
7570	17	6585	1992-##-##	1992-##-##
5962	20	5967	1997-##-##	1997-##-##
8903	17	7301	2007-##-##	2007-##-##
11292	22	9750	2003-##-##	2004-##-##
1073	1	666	2016-##-##	####-##-##
4672	14	4499	1971-##-##	1977-##-##
884	9	2486	1992-##-##	####-##-##
